algorithm,constellation_name,delta_mean_gs_gs_break_rate,delta_mean_gs_gs_churn,delta_mean_gs_handover_rate,delta_mean_gs_renumber_count,delta_mean_gs_renumber_rate,delta_mean_sat_fstate_updates_add_mean,delta_mean_sat_fstate_updates_add_p95,delta_mean_sat_fstate_updates_delete_mean,delta_mean_sat_fstate_updates_delete_p95,delta_mean_sat_fstate_updates_modify_mean,delta_mean_sat_fstate_updates_modify_p95,delta_mean_sat_fstate_updates_total_mean,delta_mean_sat_fstate_updates_total_p95,delta_mean_sat_fstate_updates_touched_satellite_count,delta_mean_sat_fstate_updates_touched_satellite_rate,delta_mean_sat_gs_break_rate,delta_mean_sat_gs_churn,delta_mean_time_index,delta_mean_time_since_epoch_ns,end_time_hours,isl_scenario,num_orbits,num_sats_per_orbit,param_distance_mode,param_final_egress_mode,param_plane_weight,param_sat_weight,param_segment_count,param_segment_refresh_interval_steps,param_shell_weight,param_time_step_minutes,run_dir,time_step_minutes,timestep_mean_aux_cache_pairs_per_sat_max,timestep_mean_aux_cache_pairs_per_sat_mean,timestep_mean_aux_decisions_per_sat_max,timestep_mean_aux_decisions_per_sat_mean,timestep_mean_aux_distance_evals_per_sat_max,timestep_mean_aux_distance_evals_per_sat_mean,timestep_mean_aux_geometry_build_ms,timestep_mean_aux_geometry_plane_edge_entries,timestep_mean_aux_geometry_row_edge_entries,timestep_mean_aux_lsdb_link_entries,timestep_mean_aux_lsdb_node_entries,timestep_mean_aux_path_cost_plane_entries,timestep_mean_aux_path_cost_row_entries,timestep_mean_aux_pivot_cache_entries,timestep_mean_aux_spf_all_pairs_build_ms,timestep_mean_aux_spf_all_pairs_entries,timestep_mean_aux_spf_tree_entries_per_sat,timestep_mean_compute_time_ms,timestep_mean_delivery_deliverable,timestep_mean_delivery_delivered,timestep_mean_delivery_delivery_rate,timestep_mean_delivery_disconnected,timestep_mean_delivery_forwarding_failure,timestep_mean_delivery_no_dst_visibility,timestep_mean_delivery_no_src_visibility,timestep_mean_delivery_non_optimal_egress,timestep_mean_delivery_non_optimal_egress_rate,timestep_mean_delivery_total_pairs,timestep_mean_explicit_failover_broken_adj_count,timestep_mean_explicit_failover_broken_adj_rate,timestep_mean_explicit_failover_count,timestep_mean_explicit_failover_delivered_count,timestep_mean_explicit_failover_delivered_rate,timestep_mean_explicit_failover_dynamic_egress_repair_count,timestep_mean_explicit_failover_dynamic_egress_repair_rate,timestep_mean_explicit_failover_dynamic_egress_unavailable_count,timestep_mean_explicit_failover_dynamic_egress_unavailable_rate,timestep_mean_explicit_failover_egress_not_visible_count,timestep_mean_explicit_failover_egress_not_visible_rate,timestep_mean_explicit_failover_protected_repair_count,timestep_mean_explicit_failover_protected_repair_rate,timestep_mean_fstate_installed_count,timestep_mean_fstate_installed_max,timestep_mean_fstate_installed_mean,timestep_mean_fstate_installed_median,timestep_mean_fstate_installed_min,timestep_mean_fstate_installed_p95,timestep_mean_fstate_markers_count,timestep_mean_fstate_markers_max,timestep_mean_fstate_markers_mean,timestep_mean_fstate_markers_median,timestep_mean_fstate_markers_min,timestep_mean_fstate_markers_p95,timestep_mean_fstate_neighbors_count,timestep_mean_fstate_neighbors_max,timestep_mean_fstate_neighbors_mean,timestep_mean_fstate_neighbors_median,timestep_mean_fstate_neighbors_min,timestep_mean_fstate_neighbors_p95,timestep_mean_fstate_size_count,timestep_mean_fstate_size_max,timestep_mean_fstate_size_mean,timestep_mean_fstate_size_median,timestep_mean_fstate_size_min,timestep_mean_fstate_size_p95,timestep_mean_srv6_srh_bytes_count,timestep_mean_srv6_srh_bytes_max,timestep_mean_srv6_srh_bytes_mean,timestep_mean_srv6_srh_bytes_median,timestep_mean_srv6_srh_bytes_min,timestep_mean_srv6_srh_bytes_p95,timestep_mean_stretch_dist_count,timestep_mean_stretch_dist_max,timestep_mean_stretch_dist_mean,timestep_mean_stretch_dist_median,timestep_mean_stretch_dist_min,timestep_mean_stretch_dist_p95,timestep_mean_stretch_dist_shared_count,timestep_mean_stretch_dist_shared_max,timestep_mean_stretch_dist_shared_mean,timestep_mean_stretch_dist_shared_median,timestep_mean_stretch_dist_shared_min,timestep_mean_stretch_dist_shared_p95,timestep_mean_stretch_hop_count,timestep_mean_stretch_hop_max,timestep_mean_stretch_hop_mean,timestep_mean_stretch_hop_median,timestep_mean_stretch_hop_min,timestep_mean_stretch_hop_p95,timestep_mean_stretch_hop_shared_count,timestep_mean_stretch_hop_shared_max,timestep_mean_stretch_hop_shared_mean,timestep_mean_stretch_hop_shared_median,timestep_mean_stretch_hop_shared_min,timestep_mean_stretch_hop_shared_p95,timestep_mean_strict_header_bytes_count,timestep_mean_strict_header_bytes_max,timestep_mean_strict_header_bytes_mean,timestep_mean_strict_header_bytes_median,timestep_mean_strict_header_bytes_min,timestep_mean_strict_header_bytes_p95,timestep_mean_time_index,timestep_mean_time_since_epoch_ns
topological_routing,Telesat-synthetic,0.07677324290500992,0.037796213313955836,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.01907734103648681,0.005633856840913485,180.0,10800000000000.0,6.0,ring,27,13,torus_weighted_pivot,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/topological_routing/ring,1.0,12.744444444444444,7.611665083887303,9.680555555555555,5.752366255144041,103.46388888888889,63.0066872427984,25.60481207134823,351.0,351.0,,,9477.0,4563.0,40809.02777777778,,,,257.86953937365774,129.41944444444445,129.41944444444445,1.0,422.5805555555556,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,9.680555555555555,5.752366255144041,5.9222222222222225,1.4972222222222222,8.46111111111111,351.0,0.0,0.0,0.0,0.0,0.0,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,0.0,0.0,0.0,0.0,0.0,0.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Telesat-synthetic,0.0,0.3804852448427592,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.07693035153573687,180.0,10800000000000.0,6.0,grid_seam,27,13,torus_weighted_pivot,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/topological_routing/grid_seam,1.0,90.26666666666667,76.39610636277298,24.0,24.0,303.6333333333333,301.8555555555534,54.110554388413824,351.0,351.0,,,9477.0,4563.0,40809.02777777778,,,,406.15646553536254,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.000000270525381,1.0000000016799366,1.0,0.9999999999999999,1.0,552.0,1.000000270525381,1.0000000016799366,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.1875192400192394,1.0027231490460482,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Telesat-synthetic,0.0,0.38376024383351515,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.08124717282098896,180.0,10800000000000.0,6.0,grid,27,13,torus_weighted_pivot,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/topological_routing/grid,1.0,90.4888888888889,77.99309908198798,24.0,24.0,303.6333333333333,303.6333333333333,68.51740006046991,351.0,351.0,,,9477.0,4563.0,40809.02777777778,,,,425.08375065711635,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.027777777777777776,5.032206119162641e-05,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.000285640001377,1.0000007762275558,1.0,0.9999999999999999,1.0,552.0,1.0003216148685499,1.0000008557817033,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.2491659652076317,1.0056629826829095,1.0,1.0,1.0267499999999985,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Telesat-synthetic,0.07677324290500992,0.037796213313955836,0.35190343546889485,8.445682451253482,0.35190343546889485,1.7254719900959445,3.4721448467966574,1.7259719543842114,3.486072423398329,0.03744970597338277,0.012534818941504178,3.4888936504535417,6.733983286908078,314.8467966573816,0.8969994206763017,0.01907734103648681,0.005633856840913485,180.0,10800000000000.0,6.0,ring,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/shortest_path_link_state/ring,1.0,,,,,,,,,,351.0,351.0,,,,95.18695844130383,123201.0,351.0,283.4898751591229,129.41944444444445,129.41944444444445,1.0,422.5805555555556,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,9.680555555555555,5.752366255144041,5.9222222222222225,1.4972222222222222,8.46111111111111,351.0,22.502777777777776,18.247633744855978,18.07777777777778,14.319444444444445,21.272222222222222,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Telesat-synthetic,0.0,0.3804852448427592,0.35190343546889485,8.445682451253482,0.35190343546889485,6.724733947575176,6.940111420612813,6.727448039425759,6.9164345403899725,1.151100318231238,4.057103064066852,14.603282305232158,17.66434540389972,350.99721448467966,0.9999920640589165,0.0,0.07692208493044146,180.0,10800000000000.0,6.0,grid_seam,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/shortest_path_link_state/grid_seam,1.0,,,,,,,,,,689.0,351.0,,,,92.47688050899241,123201.0,351.0,421.86759781195883,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.1875192400192394,1.0027231490460482,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Telesat-synthetic,0.0,0.383785474950547,0.35190343546889485,8.445682451253482,0.35190343546889485,6.724733947575176,6.940111420612813,6.727448039425759,6.9164345403899725,1.2331262052710519,3.981894150417827,14.685308192271993,17.565459610027855,350.99721448467966,0.9999920640589165,0.0,0.08121840503456106,180.0,10800000000000.0,6.0,grid,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/shortest_path_link_state/grid,1.0,,,,,,,,,,702.0,351.0,,,,96.69686654168699,123201.0,351.0,426.20590838810637,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.2491659652076317,1.0056647668287155,1.0,1.0,1.026898358585857,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
explicit_path_routing,Telesat-synthetic,0.07677324290500992,0.037796213313955836,0.35190343546889485,8.445682451253482,0.35190343546889485,0.15373505067098386,0.001392757660167131,0.15383028196398688,0.004178272980501393,0.01944305565475479,0.0,0.3270083882897253,2.0891364902506964,23.2033426183844,0.06610638922616628,0.01907734103648681,0.005633856840913485,180.0,10800000000000.0,6.0,ring,27,13,,dynamic,,,2,1,,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/explicit_path_routing/ring,1.0,,,,,,,,,,,,,,,,,,74.85944513334996,129.41944444444445,129.41944444444445,1.0,422.5805555555556,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,129.41944444444445,129.41944444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,9.680555555555555,5.752366255144041,5.9222222222222225,1.4972222222222222,8.46111111111111,351.0,22.502777777777776,18.247633744855978,18.07777777777778,14.319444444444445,21.272222222222222,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,351.0,14.705555555555556,2.921462488129156,2.0,2.0,8.029166666666667,129.41944444444445,104.0,48.353048434751365,45.15555555555556,0.0,104.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,1.0,1.0,1.0,1.0,1.0,129.41944444444445,44.0,26.39810214398269,29.288888888888888,0.0,44.0,179.5,10770000000000.0
explicit_path_routing,Telesat-synthetic,0.0,0.3804852448427592,0.35190343546889485,8.445682451253482,0.35190343546889485,0.48879048321945295,0.0,0.4889809458054587,0.0,0.2553944559515589,0.318941504178273,1.2331658849764693,10.594707520891365,28.84401114206128,0.08217666992040244,0.0,0.07692208493044146,180.0,10800000000000.0,6.0,grid_seam,27,13,,dynamic,,,2,1,,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/explicit_path_routing/grid_seam,1.0,,,,,,,,,,,,,,,,,,269.10852783670026,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,351.0,32.638888888888886,5.958119658119657,4.0,3.0,28.98611111111111,552.0,262.35555555555555,96.71561996779378,100.53333333333333,0.0,177.20444444444433,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.1875192400192394,1.0027231490460482,1.0,1.0,1.0,552.0,83.58888888888889,41.314412238325254,43.13333333333333,0.0,62.30111111111108,179.5,10770000000000.0
explicit_path_routing,Telesat-synthetic,0.0,0.383785474950547,0.35190343546889485,8.445682451253482,0.35190343546889485,0.48879048321945295,0.0,0.4889809458054587,0.0,0.2538469474402621,0.3022284122562674,1.2316183764651725,10.502785515320335,28.838440111420613,0.0821607980382353,0.0,0.08121840503456106,180.0,10800000000000.0,6.0,grid,27,13,,dynamic,,,2,1,,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/explicit_path_routing/grid,1.0,,,,,,,,,,,,,,,,,,269.39181989679736,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,351.0,32.71944444444444,6.032193732193737,4.0,4.0,29.0,552.0,186.9777777777778,90.91561996779379,92.26666666666667,0.0,152.6933333333333,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,1.2491659652076317,1.0056647668287155,1.0,1.0,1.026898358585857,552.0,64.74444444444444,39.86441223832526,41.06666666666667,0.0,56.17333333333332,179.5,10770000000000.0
dra_routing,Telesat-synthetic,0.0,0.3590438415889548,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.029320656990109183,180.0,10800000000000.0,6.0,ring,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/dra_routing/ring,1.0,45.18333333333333,39.402928141817036,24.0,24.0,255.63333333333333,255.63333333333333,,,,,,,,,,,,191.51876628295415,129.41944444444445,114.39444444444445,0.884627332210961,422.5805555555556,15.025,0.0,0.0,1.9,0.01663436548111075,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,351.0,6.972222222222222,2.523171889838558,2.0,2.0,4.036111111111111,0.0,0.0,0.0,0.0,0.0,0.0,114.39444444444445,1.1063532240110117,1.0034012653512108,1.0,1.0,1.020032115050146,114.39444444444445,1.4308387705853696,1.0090514464459475,1.0,1.0,1.0330183264444595,114.39444444444445,1.0895833333333333,1.0028926472730804,1.0,1.0,1.0172569444444444,114.39444444444445,1.2654695767195756,1.0064664462744937,1.0,1.0,1.0277455357142855,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
dra_routing,Telesat-synthetic,0.0,0.3951899398490171,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.09342123710740237,180.0,10800000000000.0,6.0,grid_seam,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/dra_routing/grid_seam,1.0,90.31111111111112,77.35566635011074,24.0,24.0,303.6333333333333,301.8555555555534,,,,,,,,,,,,239.21061457755664,552.0,502.6166666666667,0.9105374396135271,0.0,49.38333333333333,0.0,0.0,113.86944444444444,0.22647470749337634,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,351.0,8.902777777777779,4.449097815764485,4.0,3.0,6.020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,502.6166666666667,1.1795506593780551,1.0211289846718585,1.000043519001707,0.9999999999999999,1.0867433393057941,502.6166666666667,1.3353727117171124,1.0360393977100029,1.009240128475802,0.9999999999999999,1.145695780206773,502.6166666666667,1.1153100448933773,1.0016877702236833,1.0,1.0,1.000963561901062,502.6166666666667,1.4497685185185167,1.0156982814131237,1.0,1.0,1.1248187630270965,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
dra_routing,Telesat-synthetic,0.0,0.3960175204876672,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.0948268906718303,180.0,10800000000000.0,6.0,grid,27,13,,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/telesat/dra_routing/grid,1.0,90.36666666666666,78.80585628363407,24.0,24.0,303.6333333333333,303.6333333333333,,,,,,,,,,,,242.8157070910351,552.0,552.0,1.0,0.0,0.0,0.0,0.0,138.13333333333333,0.25024154589371983,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,24.0,24.0,24.0,24.0,24.0,351.0,0.0,0.0,0.0,0.0,0.0,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.1840721569800863,1.022541161064934,1.0001205251525143,0.9999999999999999,1.09276143374289,552.0,1.3535368254078002,1.0397788026472141,1.01082412918243,0.9999999999999999,1.1629237977635167,552.0,1.1153100448933773,1.00158585567289,1.0,1.0,1.0006941206941207,552.0,1.4518518518518502,1.0157941283477214,1.0,1.0,1.1244543700897869,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Starlink-550,0.058238464333293015,0.1478947155948484,0.8119777158774368,19.487465181058496,0.8119777158774368,0.012302692664809637,0.0,0.012302692664809637,0.0,0.0,0.0,0.024605385329619273,0.0,38.48189415041783,0.024294125094960702,0.0031706339157592774,0.006623878642506768,180.0,10800000000000.0,6.0,ring,22,72,torus_weighted_pivot,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/starlink/topological_routing/ring,1.0,17.733333333333334,9.5963629349046,9.055555555555555,5.262247474747468,198.0638888888889,106.48459595959595,1713.672806482969,1584.0,1584.0,,,34848.0,114048.0,472727.77222222224,,,,12337.358457522674,126.59722222222223,126.59722222222223,1.0,425.40277777777777,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,9.055555555555555,5.262247474747468,5.108333333333333,1.4916666666666667,8.658333333333333,1584.0,0.0,0.0,0.0,0.0,0.0,1584.0,6.0,2.240675855780022,2.0,2.0,3.0,1584.0,6.0,2.240675855780022,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,126.59722222222223,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,126.59722222222223,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,126.59722222222223,1.0,1.0,1.0,1.0,1.0,126.59722222222223,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Starlink-550,0.0,0.8075017157159576,0.8119777158774368,19.487465181058496,0.8119777158774368,0.012302692664809637,0.0,0.012302692664809637,0.0,0.0,0.0,0.024605385329619273,0.0,38.48189415041783,0.024294125094960702,0.0,0.06042544467422607,180.0,10800000000000.0,6.0,grid_seam,22,72,torus_weighted_pivot,,100.0,1.0,2,,1000.0,1.0,/tmp/claude-1000/-home-sergio-phd-ntn-topological-routing/ccdce9a2-d293-461b-ab4c-dfe7056a41d3/scratchpad/data/v3/starlink/topological_routing/grid_seam,1.0,96.0,90.48592522446681,24.0,24.0,501.23055555555555,499.04873737373424,1852.6312071778293,1584.0,1584.0,,,34848.0,114048.0,472727.77222222224,,,,14461.889981349103,552.0,552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,24.0,24.0,24.0,24.0,24.0,1584.0,0.0,0.0,0.0,0.0,0.0,1584.0,8.0,4.149766764870935,4.0,3.0,5.0,1584.0,8.0,4.149766764870935,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,552.0,2.399690201773534,1.1610383701460656,1.0133477619742595,1.0,1.7504736532155398,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
