constellation,condition,variant,seeds,deliverable_per_snapshot_mean,deliverable_per_snapshot_ci95,delivery_rate_mean,delivery_rate_ci95,delivery_gap_vs_link_state_mean,delivery_gap_vs_link_state_ci95,stretch_dist_shared_mean,stretch_dist_shared_ci95,non_optimal_egress_rate_mean,non_optimal_egress_rate_ci95,isls_removed_per_snapshot_mean,isls_removed_per_snapshot_ci95,satellites_down_per_snapshot_mean,satellites_down_per_snapshot_ci95,fstate_updates_per_snapshot_mean,fstate_updates_per_snapshot_ci95,compute_time_ms_mean,compute_time_ms_ci95,loop_pairs_per_snapshot_mean,loop_pairs_per_snapshot_ci95,live_minima_per_snapshot_mean,live_minima_per_snapshot_ci95,detour_entries_per_snapshot_mean,detour_entries_per_snapshot_ci95,failure_events_per_snapshot_mean,failure_events_per_snapshot_ci95,exception_entries_per_snapshot_mean,exception_entries_per_snapshot_ci95,exception_entries_one_pass_per_snapshot_mean,exception_entries_one_pass_per_snapshot_ci95,exception_satellites_per_snapshot_mean,exception_satellites_per_snapshot_ci95,exception_share_of_link_state_mean,exception_share_of_link_state_ci95,exception_hops_to_failure_mean_mean,exception_hops_to_failure_mean_ci95,exception_hops_to_failure_max_mean,exception_hops_to_failure_max_ci95,exception_unresolved_total_mean,exception_unresolved_total_ci95,failure_share_loop_mean,failure_share_loop_ci95,failure_share_dead_end_mean,failure_share_dead_end_ci95,failure_share_link_down_mean,failure_share_link_down_ci95,failure_share_hop_limit_mean,failure_share_hop_limit_ci95,failure_share_egress_lost_mean,failure_share_egress_lost_ci95
telesat,none,link_state,1,552.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,14.496450818484716,,450.19317452485365,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,explicit_r1,1,552.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.2211598821768315,,751.4581583750745,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,explicit_r15,1,552.0,,1.0,,0.0,,1.2614160115792545,,0.4201086956521739,,0.0,,0.0,,1.0168525761746101,,201.0139824822545,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,dra,1,552.0,,1.0,,0.0,,1.0404951911025775,,0.25120772946859904,,0.0,,0.0,,0.0479984547781158,,254.7742777504027,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,topological_nominal,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,439.47937889024615,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,topological_nominal_progress,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,541.486231982708,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,topological_nominal_progress_repair,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,526.7843356976906,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,topological_nominal_progress_exceptions,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,646.1742559758326,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,
telesat,none,topological_nominal_progress_repair_exceptions,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,640.8710308062533,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,
telesat,none,topological_observed,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,425.6286090550323,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,none,topological_observed_progress,1,552.0,,1.0,,0.0,,1.0000004680013785,,3.0193236714975845e-05,,0.0,,0.0,,0.0479984547781158,,515.5176641109089,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.01,link_state,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.126666666666667,1.5706562316574695,0.0,0.0,14.544149886522769,0.01774521105160648,451.9693191535771,4.981187125879814,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.01,explicit_r1,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.126666666666667,1.5706562316574695,0.0,0.0,1.2304505287556136,0.003020872097716075,710.266082348923,18.01626361719291,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.01,explicit_r15,5,552.0,0.0,0.9690157004830919,0.010823339307480351,0.030984299516908197,0.010823339307480351,1.2631531860348746,0.001388267734362942,0.416492566137537,0.0033216061884924755,7.126666666666667,1.5706562316574695,0.0,0.0,1.0168525761746101,0.0,194.92757059633732,7.352055618135166,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.01,dra,5,552.0,0.0,0.962397342995169,0.016688176495159676,0.03760265700483094,0.016688176495159676,1.0395380669232503,0.0007280353218856834,0.24734284565507086,0.002417926988394142,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,264.2921017793318,14.237006418549871,20.756666666666668,9.211873425328132,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.01,topological_nominal,5,552.0,0.0,0.9753925120772948,0.014595445814927638,0.024607487922705305,0.014595445814927638,1.000628838132244,0.00025265304776574186,0.005919728899364938,0.0015985244373836421,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,446.28679120292264,6.755608768354519,13.583333333333334,8.056686089840051,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.01,topological_nominal_progress,5,552.0,0.0,0.9782789855072463,0.010137720488505971,0.021721014492753633,0.010137720488505971,1.000483542794603,0.00020693973145873893,0.006113624800878661,0.0018641834938457067,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,530.9349172127744,32.631014148877746,0.0,0.0,13.506666666666666,3.7986201278066454,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.01,topological_nominal_progress_repair,5,552.0,0.0,0.999957729468599,9.774590857542225e-05,4.227053140095638e-05,9.774590857542225e-05,1.0060527162709103,0.00336430137475564,0.015006689292820941,0.007089970931055394,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,521.628856199483,6.5564345924464575,0.0,0.0,0.026666666666666665,0.05395574153363518,18.66,4.775576215220293,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.01,topological_nominal_progress_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0034880504280703,0.001768687106739374,0.014800724637681159,0.006146344807391897,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,658.4591190020243,31.585580691997663,0.0,0.0,13.506666666666666,3.7986201278066454,0.0,0.0,1.6233333333333335,0.20978757679561907,14.766666666666666,3.818892258234054,177.82333333333332,44.89914477260044,7.83,2.033913398615257,0.0017529281418170307,0.0004533347884893228,0.08377798211980421,0.03718608795720613,1.0,0.0,0.0,0.0,,,,,,,,,,
telesat,isl_p0.01,topological_nominal_progress_repair_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0060637553224905,0.0033646884355403956,0.015018115942028986,0.0070891355619007715,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,654.7194509084026,31.881100233387382,0.0,0.0,0.026666666666666665,0.05395574153363518,18.66,4.775576215220293,1.6233333333333335,0.20978757679561907,0.04333333333333333,0.09879856409212971,0.45,0.8643326622956643,0.023333333333333334,0.04533189017310734,5.144032921810699e-06,1.172822460732784e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
telesat,isl_p0.01,topological_observed,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0001197971085762,8.00556053737687e-05,0.002632850241545894,0.0008080355490788936,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,441.2424209465583,16.695283080144627,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.01,topological_observed_progress,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0001197971085762,8.00556053737687e-05,0.002632850241545894,0.0008080355490788936,7.126666666666667,1.5706562316574695,0.0,0.0,0.0479984547781158,0.0,511.8846459748844,8.911602831434715,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.02,link_state,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.063333333333333,2.24602628167071,0.0,0.0,14.577526679221595,0.021557277200519465,470.801883811752,35.952470486076194,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.02,explicit_r1,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.063333333333333,2.24602628167071,0.0,0.0,1.235385581148293,0.003896533449386634,721.5565912735959,16.621579316982483,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.02,explicit_r15,5,552.0,0.0,0.9516847826086956,0.016280019635357888,0.04831521739130436,0.016280019635357888,1.261321453143331,0.00450052476457516,0.41407162236191997,0.0031290096292123566,13.063333333333333,2.24602628167071,0.0,0.0,1.0168525761746101,0.0,194.1407712424795,9.35878374662583,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.02,dra,5,552.0,0.0,0.9341968599033816,0.017193558108906718,0.06580314009661833,0.017193558108906718,1.0388775626340954,0.0009543951877948773,0.2435046672978114,0.004548126529073187,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,254.9920886196196,9.854999537548869,36.32333333333334,9.490844076116494,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.02,topological_nominal,5,552.0,0.0,0.9580253623188406,0.010637668176210872,0.04197463768115941,0.010637668176210872,1.0010900265648268,0.0002787674033612785,0.010273699680968053,0.0018573140888972666,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,446.2421777099371,13.721744259741106,23.169999999999998,5.871992833268407,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.02,topological_nominal_progress,5,552.0,0.0,0.9607548309178744,0.007632745411284048,0.03924516908212559,0.007632745411284048,1.0007687528277545,0.00011922052137526891,0.010374473572650816,0.0010939702207928914,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,520.6205030344427,6.601436391711933,0.0,0.0,25.673333333333336,5.421292594764133,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.02,topological_nominal_progress_repair,5,552.0,0.0,0.9998550724637681,0.0003429310904966538,0.00014492753623187581,0.0003429310904966538,1.010302956346144,0.002698907237403408,0.02680947683877228,0.0059474558252371025,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,524.3468725246687,16.4888681750666,0.0,0.0,0.1,0.16093885105150274,35.47666666666667,6.457484263553759,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.02,topological_nominal_progress_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.005665315118294,0.001467886678050949,0.02481280193236715,0.003872228129100426,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,653.2415593850117,12.396167895835667,0.0,0.0,25.673333333333336,5.421292594764133,0.0,0.0,2.8933333333333335,0.29502029881198194,29.21,5.846074826358089,319.1333333333333,58.239374779260025,14.186666666666667,2.174897529785407,0.003467473884140551,0.0006939784931574178,0.10985739603076902,0.04783052643221955,1.0,0.0,0.0,0.0,,,,,,,,,,
telesat,isl_p0.02,topological_nominal_progress_repair_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0103270711371573,0.0027189321360067743,0.026871980676328504,0.0059509071576306525,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,654.1617702630658,13.160447067301167,0.0,0.0,0.1,0.16093885105150274,35.47666666666667,6.457484263553759,2.8933333333333335,0.29502029881198194,0.19333333333333333,0.3482623261597817,1.7466666666666668,3.0615601096608676,0.11333333333333333,0.18471934074277235,2.2950300728078503e-05,4.134168164289906e-05,0.2192982456140351,0.8329730977152804,0.4,0.6799783525966101,0.0,0.0,,,,,,,,,,
telesat,isl_p0.02,topological_observed,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0003177542273078,0.0001404485523559373,0.0056582125603864735,0.0018832787893926898,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,435.99083239833516,9.624241972687189,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.02,topological_observed_progress,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0003177542273078,0.0001404485523559373,0.0056582125603864735,0.0018832787893926898,13.063333333333333,2.24602628167071,0.0,0.0,0.0479984547781158,0.0,509.21506460756063,10.733605809372783,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.05,link_state,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.47666666666667,6.513035426745693,0.0,0.0,14.68748853155633,0.020482183249893097,460.3273668636878,26.17638507280687,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.05,explicit_r1,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.47666666666667,6.513035426745693,0.0,0.0,1.261692983726882,0.008683744804991508,720.1127446380754,29.9030990157113,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.05,explicit_r15,5,552.0,0.0,0.8812077294685989,0.024189289598610456,0.11879227053140098,0.024189289598610456,1.2641070970773183,0.003568722559000975,0.4023262782449993,0.004968994931139013,34.47666666666667,6.513035426745693,0.0,0.0,1.0168525761746101,0.0,188.6583674388627,2.118957546435202,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.05,dra,5,552.0,0.0,0.8510628019323672,0.03675086358469829,0.14893719806763286,0.03675086358469829,1.037284196839574,0.00032865821916654706,0.2338791676821696,0.00539218341732649,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,251.70351397867003,4.738045987303314,82.21333333333334,20.28647669875345,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.05,topological_nominal,5,552.0,0.0,0.8924818840579711,0.032510693972032,0.10751811594202901,0.032510693972032,1.0029040855348437,0.0004899824145541036,0.021361890445415317,0.002994525695091085,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,447.58274101962644,27.0778641562822,59.35,17.94590307256165,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.05,topological_nominal_progress,5,552.0,0.0,0.8968599033816425,0.029874953554047144,0.1031400966183575,0.029874953554047144,1.0017642381413518,0.000398412620898402,0.0213669423947311,0.0039735729982489825,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,522.1886736092467,28.78841138256032,0.0,0.0,76.03666666666666,22.58234908456307,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.05,topological_nominal_progress_repair,5,552.0,0.0,0.9972222222222221,0.0035774986828877547,0.002777777777777768,0.0035774986828877547,1.0266937189917016,0.006061885387910235,0.06055817803632059,0.013473293361808164,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,529.0384697603683,37.733498581396326,0.0,0.0,1.9333333333333331,2.3245949882840997,96.44666666666667,23.157071684403924,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.05,topological_nominal_progress_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0151494952287528,0.0047774931357742485,0.05634661835748792,0.014434137515293525,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,651.1888695384066,13.001186329912365,0.0,0.0,75.55666666666666,21.4042051432018,0.0,0.0,7.2,0.6901336746521568,90.1,29.616113342810895,828.4233333333334,221.21604888492712,38.57333333333334,8.200440052734296,0.010695631528964862,0.003515682970419148,0.13504933648636344,0.036079346670462066,1.2,0.5551999999999999,0.0,0.0,,,,,,,,,,
telesat,isl_p0.05,topological_nominal_progress_repair_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0271744457556466,0.0067435345507309485,0.0616123188405797,0.014452649705528054,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,671.662352407972,44.105980515998006,0.0,0.0,1.4533333333333334,1.0372817447326235,96.44666666666667,23.157071684403924,7.2,0.6901336746521568,2.3566666666666665,1.8066881560345587,18.94,15.944936583931588,1.2333333333333334,0.9846216293017785,0.0002797562519784742,0.00021446915432509007,0.18921130155573182,0.11723462435002358,1.0,0.0,0.0,0.0,,,,,,,,,,
telesat,isl_p0.05,topological_observed,5,552.0,0.0,0.9999516908212561,0.00013410628019324964,4.830917874396601e-05,0.00013410628019324964,1.0017601926155575,0.0007027003040228603,0.017621500969334937,0.005921403918120549,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,424.95275244116783,5.5285134433719225,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,0.0,,0.0,
telesat,isl_p0.05,topological_observed_progress,5,552.0,0.0,0.9999516908212561,0.00013410628019324964,4.830917874396601e-05,0.00013410628019324964,1.0017601926155575,0.0007027003040228603,0.017621500969334937,0.005921403918120549,34.47666666666667,6.513035426745693,0.0,0.0,0.0479984547781158,0.0,497.8284371830523,5.785363326123374,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,0.0,,0.0,
telesat,isl_p0.10,link_state,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.52666666666667,4.876221332575732,0.0,0.0,14.931739823265247,0.07362482559904455,446.7960264906287,19.83637502949638,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.10,explicit_r1,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.52666666666667,4.876221332575732,0.0,0.0,1.3006325752088466,0.013530244803373892,684.6602156323692,5.435700894014871,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.10,explicit_r15,5,552.0,0.0,0.7631340579710145,0.03704082918103147,0.23686594202898545,0.03704082918103147,1.2730056183835021,0.004968045331447626,0.38662607953811146,0.010521907363877757,70.52666666666667,4.876221332575732,0.0,0.0,1.0168525761746101,0.0,183.3650710185369,4.585151276338176,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,dra,5,552.0,0.0,0.7034601449275362,0.025146346787643915,0.2965398550724638,0.025146346787643915,1.03431328582721,0.0011208960902760105,0.21730941826568953,0.007304936146269033,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,252.5739681472381,11.6794351923612,163.69,13.880783426779463,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,topological_nominal,5,552.0,0.0,0.7876147342995169,0.02814174886428887,0.21238526570048313,0.02814174886428887,1.005894325702349,0.0005657762385086854,0.04079253364234884,0.003351562503755132,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,429.92738947893184,8.691118476637113,117.23666666666665,15.53424537308745,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,topological_nominal_progress,5,552.0,0.0,0.7872101449275363,0.0233246609183961,0.21278985507246376,0.0233246609183961,1.0030533906838364,0.00029599128315019774,0.03560185210493399,0.0023631220894559575,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,505.92664864535135,2.644683014618251,0.0,0.0,193.3,19.72082135963577,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,topological_nominal_progress_repair,5,552.0,0.0,0.9797041062801932,0.011243416566450065,0.020295893719806758,0.011243416566450065,1.0513328136885467,0.006773134966104914,0.11293679797879261,0.00811281968346829,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,545.6950123732288,52.083497351414806,0.0,0.0,15.373333333333331,6.418365741235589,217.33,15.750918430539567,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,topological_nominal_progress_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0286302533571108,0.004277251618290319,0.10431159420289855,0.009861934753418252,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,661.418182477355,13.88831010291892,0.0,0.0,193.22333333333333,19.56230280783937,0.0,0.0,15.293333333333333,1.1537574614372903,248.42333333333335,28.655661053408323,1772.03,148.7525667711801,84.5,6.456877604676874,0.029489949351060463,0.0034016691658841787,0.15770717237769907,0.013984739078411626,1.8,0.5551999999999999,0.0,0.0,,,,,,,,,,
telesat,isl_p0.10,topological_nominal_progress_repair_exceptions,5,552.0,0.0,1.0,0.0,0.0,0.0,1.0545338895640763,0.008482861901027329,0.11898550724637683,0.010982843296641072,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,652.2622414429982,13.558107559697898,0.0,0.0,15.296666666666667,6.347634915581638,217.30666666666667,15.72389258457898,15.293333333333333,1.1537574614372903,26.613333333333333,11.383164683775576,174.62666666666667,55.52393753926158,10.143333333333334,3.5021330159140946,0.0031592276036720482,0.0013512778589477178,0.1985466025791883,0.0501490482665699,1.4,0.6799783525966101,0.0,0.0,,,,,,,,,,
telesat,isl_p0.10,topological_observed,5,552.0,0.0,0.997481884057971,0.002103708786379801,0.002518115942028998,0.002103708786379801,1.009269997483601,0.0034829266994225406,0.04919177379869314,0.009089111716397997,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,414.21191558241844,20.586932033059934,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.10,topological_observed_progress,5,552.0,0.0,0.997481884057971,0.002103708786379801,0.002518115942028998,0.002103708786379801,1.009269997483601,0.0034829266994225406,0.04919177379869314,0.009089111716397997,70.52666666666667,4.876221332575732,0.0,0.0,0.0479984547781158,0.0,497.9846055433154,32.34860298927658,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.20,link_state,5,550.5266666666666,1.2974975034186877,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,141.78333333333333,4.8335050395247485,0.0,0.0,15.531846057269785,0.039673135131961475,447.18584761644405,36.46087882353951,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.20,explicit_r1,5,550.5266666666666,1.2974975034186877,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,141.78333333333333,4.8335050395247485,0.0,0.0,1.3808199333623061,0.007293566254714919,688.4933614482482,30.23375783009858,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telesat,isl_p0.20,explicit_r15,5,550.5266666666666,1.2974975034186877,0.566990826157452,0.016134575982647767,0.433009173842548,0.016134575982647767,1.2962261269377384,0.013102057548606234,0.3345626687073127,0.013883815083521702,141.78333333333333,4.8335050395247485,0.0,0.0,1.0132019894731759,0.0045500558813617005,179.47769989569983,3.492264537610493,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.005801192119539295,0.007145673515673908,0.9941988078804608,0.007145673515673888,0.0,0.0,0.0,0.0
telesat,isl_p0.20,dra,5,550.5266666666666,1.2974975034186877,0.5030223365630733,0.024397168222980083,0.4969776634369268,0.024397168222980107,1.0287053254433773,0.0011008435076145632,0.1809179621390135,0.005139497557947234,141.78333333333333,4.8335050395247485,0.0,0.0,0.0479984547781158,0.0,233.86414473255476,5.941081306273143,273.59333333333336,13.352656188149734,,,,,,,,,,,,,,,,,,,,,0.9999878817256423,3.36403296170916e-05,1.211827435773146e-05,3.364032961706252e-05,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.20,topological_nominal,5,550.5266666666666,1.2974975034186877,0.5986210696594251,0.023314943529564452,0.4013789303405749,0.023314943529564452,1.0085580266551406,0.0012465708555001386,0.048863859537358,0.005280034749287864,141.78333333333333,4.8335050395247485,0.0,0.0,0.0479984547781158,0.0,431.54884435236454,20.296573927311094,220.9633333333333,12.629142426034576,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.20,topological_nominal_progress,5,550.5266666666666,1.2974975034186877,0.5918482414257074,0.020435591021241692,0.4081517585742927,0.020435591021241692,1.0037875044296034,0.0004996649307025147,0.04119607478253511,0.003318621074883283,141.78333333333333,4.8335050395247485,0.0,0.0,0.0479984547781158,0.0,513.0026112745206,40.01957439572515,0.0,0.0,502.7833333333333,39.631673966832814,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telesat,isl_p0.20,topological_nominal_progress_repair,5,550.5266666666666,1.2974975034186877,0.8757132107986179,0.02013737969041356,0.12428678920138218,0.02013737969041356,1.0845373737921116,0.0035511731353319214,0.15843050040138476,0.0056238855270700485,141.78333333333333,4.8335050395247485,0.0,0.0,0.0479984547781158,0.0,533.2860243382554,9.757981933551278,0.0,0.0,126.6,24.08495312690754,427.7833333333333,16.960094118973636,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
