time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7916666666666666,19.0,0.7916666666666666,0.002235900673400673,0.0,0.7789855072463768,0.0,0.2847222222222222,0.0,0.2847222222222222,0.0,0.0,0.0,0.5694444444444444,0.0,37.0,0.02335858585858586
2,120000000000,0.75,18.0,0.75,0.0023148148148148147,0.0,0.7427536231884058,0.0,0.2537878787878788,0.0,0.2537878787878788,0.0,0.0,0.0,0.5075757575757576,0.0,34.0,0.021464646464646464
3,180000000000,0.875,21.0,0.875,0.1947074915824916,0.0,0.8913043478260869,0.0,0.3162878787878788,0.0,0.3162878787878788,0.0,0.05618686868686869,0.0,0.6887626262626263,0.0,44.0,0.027777777777777776
4,240000000000,0.8333333333333334,20.0,0.8333333333333334,0.002341119528619529,0.0,0.8260869565217391,0.0,0.31565656565656564,0.0,0.31565656565656564,0.0,0.0,0.0,0.6313131313131313,0.0,40.0,0.025252525252525252
5,300000000000,0.8333333333333334,20.0,0.8333333333333334,0.002341119528619529,0.0,0.8260869565217391,0.0,0.3005050505050505,0.0,0.3005050505050505,0.0,0.0,0.0,0.601010101010101,0.0,39.0,0.02462121212121212
6,360000000000,0.6666666666666666,16.0,0.6666666666666666,0.16419402356902357,0.0,0.7210144927536232,0.0,0.23737373737373738,0.0,0.23737373737373738,0.0,0.12815656565656566,0.0,0.6029040404040404,0.0,39.0,0.02462121212121212
7,420000000000,0.75,18.0,0.75,0.002288510101010101,0.0,0.7427536231884058,0.0,0.2840909090909091,0.0,0.2840909090909091,0.0,0.0,0.0,0.5681818181818182,0.0,36.0,0.022727272727272728
8,480000000000,0.9583333333333334,23.0,0.9583333333333334,0.002446338383838384,0.0,0.947463768115942,0.0,0.34785353535353536,0.0,0.34785353535353536,0.0,0.0,0.0,0.6957070707070707,0.0,45.0,0.028409090909090908
9,540000000000,0.7916666666666666,19.0,0.7916666666666666,0.17658354377104377,0.0,0.822463768115942,0.0,0.2847222222222222,0.0,0.2847222222222222,0.0,0.08522727272727272,0.0,0.6546717171717171,0.0,42.0,0.026515151515151516
10,600000000000,0.8333333333333334,20.0,0.8333333333333334,0.002341119528619529,0.0,0.8242753623188406,0.0,0.3005050505050505,0.0,0.3005050505050505,0.0,0.0,0.0,0.601010101010101,0.0,39.0,0.02462121212121212
11,660000000000,0.7916666666666666,19.0,0.7916666666666666,0.0024989478114478113,0.0,0.7862318840579711,0.0,0.29987373737373735,0.0,0.29987373737373735,0.0,0.0,0.0,0.5997474747474747,0.0,38.0,0.023989898989898988
12,720000000000,0.875,21.0,0.875,0.16819234006734007,0.0,0.894927536231884,0.0,0.3162878787878788,0.0,0.3162878787878788,0.0,0.056818181818181816,0.0,0.6893939393939394,0.0,44.0,0.027777777777777776
13,780000000000,0.75,18.0,0.75,0.002130681818181818,0.0,0.7409420289855072,0.0,0.2689393939393939,0.0,0.2689393939393939,0.0,0.0,0.0,0.5378787878787878,0.0,35.0,0.022095959595959596
14,840000000000,0.9166666666666666,22.0,0.9166666666666666,0.002235900673400673,0.0,0.907608695652174,0.0,0.33207070707070707,0.0,0.33207070707070707,0.0,0.0,0.0,0.6641414141414141,0.0,43.0,0.027146464646464648
15,900000000000,0.7916666666666666,19.0,0.7916666666666666,0.19586489898989898,0.0,0.802536231884058,0.0,0.29987373737373735,0.0,0.29987373737373735,0.0,0.07196969696969698,0.0,0.6717171717171717,0.0,43.0,0.027146464646464648
16,960000000000,0.8333333333333334,20.0,0.8333333333333334,0.0022622053872053873,0.0,0.8242753623188406,0.0,0.3005050505050505,0.0,0.3005050505050505,0.0,0.0,0.0,0.601010101010101,0.0,39.0,0.02462121212121212
17,1020000000000,0.7083333333333334,17.0,0.7083333333333334,0.002446338383838384,0.0,0.7047101449275363,0.0,0.25315656565656564,0.0,0.25315656565656564,0.0,0.0,0.0,0.5063131313131313,0.0,33.0,0.020833333333333332
18,1080000000000,0.8333333333333334,20.0,0.8333333333333334,0.16640361952861954,0.0,0.8442028985507246,0.0,0.31565656565656564,0.0,0.31565656565656564,0.0,0.054924242424242424,0.0,0.6862373737373737,0.0,44.0,0.027777777777777776
19,1140000000000,0.7916666666666666,19.0,0.7916666666666666,0.002288510101010101,0.0,0.7789855072463768,0.0,0.29987373737373735,0.0,0.29987373737373735,0.0,0.0,0.0,0.5997474747474747,0.0,38.0,0.023989898989898988
20,1200000000000,0.8333333333333334,20.0,0.8333333333333334,0.0022622053872053873,0.0,0.8260869565217391,0.0,0.3005050505050505,0.0,0.3005050505050505,0.0,0.0,0.0,0.601010101010101,0.0,39.0,0.02462121212121212
21,1260000000000,0.8333333333333334,20.0,0.8333333333333334,0.17466329966329966,0.0,0.8514492753623188,0.0,0.31565656565656564,0.0,0.31565656565656564,0.0,0.05808080808080808,0.0,0.6893939393939394,0.0,44.0,0.027777777777777776
22,1320000000000,0.7083333333333334,17.0,0.7083333333333334,0.002183291245791246,0.0,0.6992753623188406,0.0,0.26830808080808083,0.0,0.26830808080808083,0.0,0.0,0.0,0.5366161616161617,0.0,34.0,0.021464646464646464
